Running SLURM prolog script on red232.cluster.local
===============================================================================
Job started on Wed Jun 19 15:54:31 BST 2024
Job ID          : 6140878
Job name        : NameThisGame_2
WorkDir         : /mainfs/home/kv2e21/RLFromTheGround
Command         : /mainfs/home/kv2e21/RLFromTheGround/run_NameThisGame_5.slurm
Partition       : batch
Num hosts       : 1
Num cores       : 40
Num of tasks    : 1
Hosts allocated : red232
Job Output Follows ...
===============================================================================
NStep3DQN_fc1_128_game_NameThisGame NameThisGame avg score 2460.40 total_steps 142800 fps 114.35
NStep3DQN_update_target_1000_game_NameThisGame NameThisGame avg score 2326.67 total_steps 109200 fps 131.86
NStep3DQN_update_target_1000_game_NameThisGame NameThisGame avg score 2326.67 total_steps 110400 fps 166.74
NStep3DQN_game_NameThisGame NameThisGame avg score 2356.40 total_steps 144000 fps 93.17
NStep3DQN_fc1_128_game_NameThisGame NameThisGame avg score 2436.60 total_steps 144000 fps 111.27
NStep3DQN_lr_1e5_game_NameThisGame NameThisGame avg score 2601.63 total_steps 141600 fps 100.65
NStep3DQN_update_target_1000_game_NameThisGame NameThisGame avg score 2326.67 total_steps 111600 fps 157.84
NStep3DQN_game_NameThisGame NameThisGame avg score 2356.40 total_steps 145200 fps 122.99
NStep3DQN_fc1_128_game_NameThisGame NameThisGame avg score 2436.60 total_steps 145200 fps 109.53
NStep3DQN_lr_1e5_game_NameThisGame NameThisGame avg score 2601.63 total_steps 142800 fps 98.78
NStep3DQN_update_target_1000_game_NameThisGame NameThisGame avg score 2326.67 total_steps 112800 fps 148.86
NStep3DQN_game_NameThisGame NameThisGame avg score 2403.40 total_steps 146400 fps 123.09
NStep3DQN_update_target_1000_game_NameThisGame NameThisGame avg score 2368.84 total_steps 114000 fps 140.72
NStep3DQN_fc1_128_game_NameThisGame NameThisGame avg score 2465.40 total_steps 146400 fps 101.20
NStep3DQN_lr_1e5_game_NameThisGame NameThisGame avg score 2601.63 total_steps 144000 fps 112.58
